ObsId	RA_CORR	DEC_CORR	R95_arcsec	ra_ps1	dec_ps1	gmag	sep_arcsec
7439	296.116820	50.582322	0.651681	296.116854	50.582273	-999.000000	0.191126
9841	175.005028	-31.917419	0.888622				
9923	193.925584	38.355548	0.827031	193.925666	38.355793	-999.000000	0.912212
7439	296.116820	50.582322	0.651681	296.116854	50.582273	-999.000000	0.191126
9841	175.005028	-31.917419	0.888622				
9923	193.925584	38.355548	0.827031	193.925666	38.355793	-999.000000	0.912212
16650	135.387870	32.449891	3.409545	135.388772	32.450870	-999.000000	4.463410
3838	225.774293	-41.685962	1.320050				
6661	146.822488	31.855843	0.000000	146.926677	31.693067	21.917999	666.998305
28964	244.716668	-1.991759	0.990402				
803	186.381606	13.066448	0.573182				
7081	185.123125	29.148763	1.483928				
10545	148.958629	69.679602	0.020358				
13815	202.246378	47.251510	2.303786	202.245580	47.251763	21.891600	2.151266
18071	148.958495	69.679805	0.014301				
22475	110.917266	80.276001	2.505083				
30892	192.742702	-6.568777	2.227761	192.742481	-6.569067	21.526600	1.308578
7800	201.364714	-43.019614	0.019953				
14504	166.493327	-18.215672	1.204245				
16093	233.734832	23.468426	0.410823				
22558	289.589991	49.606982	0.341384	289.590045	49.606870	19.852800	0.422223
25369	187.705802	12.391351	0.044515				
26729	131.261917	3.302552	2.884792	131.261751	3.303435	-999.000000	3.232863
494	207.140069	26.369966	1.460468				
325	197.987735	42.527822	1.854950	197.988277	42.527291	-999.000000	2.391434
3214	238.110946	20.199874	0.876445				
12884	212.120425	-27.057936	1.022043	212.120013	-27.057909	-999.000000	1.326064
21831	207.347189	26.584445	1.050758				
1463	24.683598	8.708503	0.557085	24.683708	8.708457	-999.000000	0.426026
624	54.896803	-35.428916	0.693305				
2548	83.820597	-5.765505	0.353338	83.820655	-5.765515	18.296900	0.209237
18927	83.873942	-4.997376	0.339389				
29128	83.833298	-5.420581	0.330757				
2736	6.044030	-72.091452	0.364087				
14231	359.509973	-32.743568	2.379976				
15804	60.731160	-67.690561	0.000000				
22359	287.846428	-53.191727	2.664293				
15557	16.018003	-72.033773	0.072822				
6385	23.460985	30.658966	0.083947				
11273	49.546264	-41.077781	2.873884				
14904	345.492474	15.948704	0.317716				
25221	318.529308	2.205902	3.920117	318.528551	2.205266	17.895800	3.557187
25377	319.098011	-34.105203	3.719390				
12264	90.004426	-52.715054	0.727701				
12273	87.162323	-25.569297	1.128081	87.162553	-25.569303	21.750401	0.747925
13454	15.935702	-21.812738	0.788974				
15113	45.267694	-77.880898	1.251512				
20635	356.264596	-42.644927	0.156876				
23103	50.475283	41.246850	0.571036	50.475309	41.246954	-999.000000	0.379496
25488	30.116675	31.608773	3.495344	30.115562	31.609498	21.658701	4.296565
13409	16.009075	-72.031406	0.246217				
5885	318.126395	-63.499003	0.639118				
16453	53.076732	-27.873618	0.334197				
16454	53.161607	-27.859479	0.213777				
16193	85.044145	-69.332128	0.098529				
16442	84.447151	-69.172038	0.070136				
16443	84.447209	-69.172037	0.083766				
17641	84.447576	-69.172368	0.100797				
