Photon#,Time_s_since_obs_start,UTC,Energy_keV,RA_deg,DEC_deg,X_pix,Y_pix
2,59972736.77463959,2001-10-20T05:05:34.260,0.972,,,4091.12,4313.38
3,59973174.30978537,2001-10-20T05:12:51.795,0.567,,,4089.57,4314.8
4,59973287.744829446,2001-10-20T05:14:45.230,0.728,,,4088.38,4313.44
5,59973754.44896634,2001-10-20T05:22:31.935,1.656,,,4090.54,4313.22
6,59974029.934066266,2001-10-20T05:27:07.420,0.675,,,4088.6,4313.13
7,59974097.995088704,2001-10-20T05:28:15.481,0.392,,,4091.01,4313.75
8,59974101.23607886,2001-10-20T05:28:18.722,0.508,,,4090.72,4313.48
9,59974162.81510108,2001-10-20T05:29:20.301,0.722,,,4090.88,4313.74
10,59974341.07015752,2001-10-20T05:32:18.556,0.279,,,4090.19,4312.73
11,59974986.029370785,2001-10-20T05:43:03.515,0.831,,,4091.67,4313.41

