Photon#,Time_s_since_obs_start,UTC,Energy_keV,RA_deg,DEC_deg,X_pix,Y_pix
1,629536566.6311667,2037-11-24T11:16:54.738,6.332,,,4120.11,4111.71
2,629537747.661766,2037-11-24T11:36:35.768,6.825,,,4119.04,4110.57
3,629538042.9195637,2037-11-24T11:41:31.026,4.268,,,4119.5,4111.73
4,629538287.920758,2037-11-24T11:45:36.027,5.925,,,4119.83,4111.45
5,629538548.6272032,2037-11-24T11:49:56.734,3.841,,,4119.19,4111.65
6,629539465.8116571,2037-11-24T12:05:13.918,8.104,,,4119.84,4110.6
7,629540492.9332175,2037-11-24T12:22:21.040,4.596,,,4119.52,4111.58
8,629540496.0742576,2037-11-24T12:22:24.181,5.897,,,4119.32,4111.57
9,629541604.8636327,2037-11-24T12:40:52.970,4.885,,,4119.03,4111.64
10,629541658.2614459,2037-11-24T12:41:46.368,6.413,,,4119.38,4111.98
11,629542427.8182211,2037-11-24T12:54:35.925,4.807,,,4119.48,4110.94
