obsid,time_center_s,time_halfwidth_s,soft_counts,hard_counts,total_counts,flux_erg_cm2_s,flux_err,HR,HR_err
30892,860542012.448239,81.35265481472015,2,5,7,2.584580681218956e-13,9.768796751267523e-14,0.42857142857142855,0.34149388838125533
30892,860542175.1535487,81.3526548743248,2,1,3,1.1076774339965622e-13,6.395178646931891e-14,-0.3333333333333333,0.5443310539518174
30892,860542337.8588583,81.3526548743248,0,2,2,7.384516226643746e-14,5.2216414996418905e-14,1.0,0.0
30892,860542500.5641681,81.35265481472015,2,4,6,2.2153548696162478e-13,9.044148382916273e-14,0.3333333333333333,0.3849001794597505
30892,860542663.2694777,81.35265481472015,1,2,3,1.1076774348081239e-13,6.395178651617446e-14,0.3333333333333333,0.5443310539518174
30892,860543314.0907165,81.35265481472015,1,0,1,3.6922581160270804e-14,3.6922581160270804e-14,-1.0,0.0
29128,819639113.0355761,55.439456045627594,1,1,2,1.0836145280819003e-13,7.662311809989722e-14,0.0,0.7071067811865476
29128,819639223.9144882,55.43945610523224,0,1,1,5.418072634584366e-14,5.418072634584366e-14,1.0,0.0
29128,819639334.7934004,55.43945610523224,1,1,2,1.0836145269168732e-13,7.662311801751738e-14,0.0,0.7071067811865476
29128,819639445.6723125,55.439456045627594,1,3,4,2.1672290561638005e-13,1.0836145280819003e-13,0.5,0.4330127018922193
29128,819639556.5512247,55.439456045627594,0,3,3,1.6254217921228504e-13,9.384377092288116e-14,1.0,0.0
29128,819639667.4301368,55.43945610523224,0,4,4,2.1672290538337465e-13,1.0836145269168732e-13,1.0,0.0
29128,819639889.1879611,55.439456045627594,1,4,5,2.7090363202047513e-13,1.2115178730987421e-13,0.6,0.35777087639996635
29128,819640110.9457854,55.43945610523224,0,1,1,5.418072634584366e-14,5.418072634584366e-14,1.0,0.0
28964,813228541.0354486,136.54100781679153,1,0,1,2.1998885521852766e-14,2.1998885521852766e-14,-1.0,0.0
28964,813229087.1994798,136.54100781679153,0,1,1,2.1998885521852766e-14,2.1998885521852766e-14,1.0,0.0
28964,813229360.2814953,136.5410077571869,1,1,2,4.3997771062912004e-14,3.111112227567833e-14,0.0,0.7071067811865476
28964,813229633.3635108,136.54100781679153,1,0,1,2.1998885521852766e-14,2.1998885521852766e-14,-1.0,0.0
28964,813230452.6095576,136.54100781679153,2,1,3,6.59966565655583e-14,3.8103187433740354e-14,-0.3333333333333333,0.5443310539518174
28964,813230725.6915733,136.5410077571869,0,1,1,2.1998885531456002e-14,2.1998885531456002e-14,1.0,0.0
28964,813230998.7735889,136.54100781679153,0,1,1,2.1998885521852766e-14,2.1998885521852766e-14,1.0,0.0
18927,629536859.6905193,293.0593526959419,0,1,1,1.0249630228032624e-14,1.0249630228032624e-14,1.0,0.0
18927,629538031.9279304,293.0593526959419,0,3,3,3.0748890684097867e-14,1.775288031374628e-14,1.0,0.0
18927,629538618.0466357,293.05935275554657,0,1,1,1.0249630225947976e-14,1.0249630225947976e-14,1.0,0.0
18927,629539204.1653411,293.0593526959419,0,1,1,1.0249630228032624e-14,1.0249630228032624e-14,1.0,0.0
18927,629540376.402752,293.05935275554657,0,2,2,2.049926045189595e-14,1.4495166074844836e-14,1.0,0.0
18927,629541548.640163,293.05935275554657,0,2,2,2.049926045189595e-14,1.4495166074844836e-14,1.0,0.0
