Photon#,Time_s_since_obs_start,UTC,Energy_keV,RA_deg,DEC_deg,X_pix,Y_pix
1,0.0,2052-07-15T20:56:57.366,2.814,,,4159.05,2967.48
2,12.56411075592041,2052-07-15T20:57:09.930,5.076,,,4156.4,2980.46
3,21.987181425094604,2052-07-15T20:57:19.353,3.53,,,4159.29,2977.42
4,53.397443532943726,2052-07-15T20:57:50.764,2.722,,,4158.83,2965.75
5,81.66667532920837,2052-07-15T20:58:19.033,1.49,,,4149.31,2970.1
6,87.94873571395874,2052-07-15T20:58:25.315,1.869,,,4150.94,2969.56
7,131.92310857772827,2052-07-15T20:59:09.289,4.563,,,4150.76,2982.25
8,226.15390467643738,2052-07-15T21:00:43.520,2.096,,,4151.38,2977.86
9,276.41033816337585,2052-07-15T21:01:33.777,1.943,,,4159.86,2976.84
10,279.55136823654175,2052-07-15T21:01:36.918,1.577,,,4155.5,2967.68
11,392.62835562229156,2052-07-15T21:03:29.995,3.685,,,4148.88,2972.73
12,436.6027286052704,2052-07-15T21:04:13.969,2.494,,,4159.99,2966.68
13,511.9874036312103,2052-07-15T21:05:29.354,1.356,,,4149.43,2975.98
14,562.2438569068909,2052-07-15T21:06:19.610,4.921,,,4159.97,2977.33
15,565.384877204895,2052-07-15T21:06:22.751,2.214,,,4152.59,2967.06
16,571.6669375896454,2052-07-15T21:06:29.033,4.267,,,4157.16,2974.8
17,628.2054413557053,2052-07-15T21:07:25.572,3.748,,,4161.18,2969.02
18,631.3464715480804,2052-07-15T21:07:28.713,1.716,,,4150.37,2971.83
19,694.167045712471,2052-07-15T21:08:31.533,2.094,,,4157.65,2979.8
20,713.0132168531418,2052-07-15T21:08:50.379,2.422,,,4161.97,2977.27
21,760.1286499500275,2052-07-15T21:09:37.495,1.83,,,4157.32,2970.66
22,1312.949936389923,2052-07-15T21:18:50.316,1.334,,,4162.46,2969.64
23,1627.0530968904495,2052-07-15T21:24:04.419,1.139,,,4156.63,2967.15
