ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
8218,257.4887742745794,-22.20374881804638,3.4741489686948,0.1617442024129219,21.501516342163086,yes,no,no,no,no,unknown,yes,no
626,196.57426423570703,-48.4626240441343,0.7165041019008771,0.009232700857697018,874.7380981445312,yes,no,no,no,no,unknown,yes,no
635,246.91221778940647,-24.672350038225943,7.551974146940368,0.15832031317536296,85.25835418701172,no,yes,no,no,no,unknown,yes,no
637,246.66861815713546,-24.45401915402044,4.144764902310921,0.10542355726308542,52.327518463134766,no,no,yes,no,no,unknown,yes,no
971,172.9801891795751,-34.60753761160352,0.2804118161707272,0.00748182549571365,1571.196533203125,yes,yes,no,no,no,unknown,no,no
4470,223.62214679220415,16.100962458227603,0.5011161653626792,0.012636548499603856,934.169921875,yes,no,no,no,yes,unknown,yes,no
4471,222.56611322815306,23.911869954387342,1.04137014610764,0.00728089780211102,1754.32568359375,yes,no,yes,no,yes,unknown,no,no
4514,151.71941523935112,-40.42661162224251,1.277639148915227,0.11769214077396208,14.449097633361816,no,no,no,no,no,unknown,yes,no
4418,132.72566814533909,18.52129341059005,4.4305628142055,0.22903326626492068,16.58043098449707,yes,no,no,no,yes,unknown,yes,no
7439,296.1168204003397,50.58232209391655,4.635041326474016,0.26624732613107654,12.856217384338379,no,no,no,no,no,unknown,no,no
7446,245.91750399798724,-26.490603768894346,3.631624339253428,0.13670139304183332,24.02637481689453,yes,no,yes,no,no,unknown,yes,no
9841,175.00502802912297,-31.917418672849003,4.744574717512451,0.363050812299814,10.53874397277832,no,no,no,no,no,unknown,no,no
9923,193.92558423665074,38.355548401329195,4.479080668592424,0.33788743194529786,5.775545597076416,no,no,no,no,no,unknown,no,no
11012,237.36079088979608,-26.118918896820464,6.816419110818998,0.3295021826366493,17.799226760864258,yes,no,no,no,no,unknown,yes,no
13624,238.4909830531295,-24.033249655714872,3.478146707263873,0.12921121992756537,37.35612106323242,yes,no,no,no,no,unknown,yes,no
4418,132.72566814533909,18.52129341059005,4.43056281448787,0.22903326626492068,16.58043098449707,yes,no,no,no,yes,unknown,yes,no
8218,257.4887742745794,-22.20374881804638,3.4741489687707623,0.1617442024129219,21.501516342163086,yes,no,no,no,no,unknown,yes,no
626,196.57426423570703,-48.4626240441343,0.716504101994433,0.009232700857697018,874.7380981445312,yes,no,no,no,no,unknown,yes,no
635,246.91221778940647,-24.672350038225943,7.5519741468840165,0.15832031317536296,85.25835418701172,no,yes,no,no,no,unknown,yes,no
637,246.66861815713546,-24.45401915402044,4.144764902535554,0.10542355726308542,52.327518463134766,no,no,yes,no,no,unknown,yes,no
971,172.9801891795751,-34.60753761160352,0.2804118115282483,0.00748182549571365,1571.196533203125,yes,yes,no,no,no,unknown,no,no
4470,223.62214679220415,16.100962458227603,0.5011161706647136,0.012636548499603856,934.169921875,yes,no,no,no,yes,unknown,yes,no
4471,222.56611322815306,23.911869954387342,1.0413701462436151,0.00728089780211102,1754.32568359375,yes,no,yes,no,yes,unknown,no,no
4514,151.71941523935112,-40.42661162224251,1.277639149082052,0.11769214077396208,14.449097633361816,no,no,no,no,no,unknown,yes,no
7439,296.1168204003397,50.58232209391655,4.635041326229995,0.26624732613107654,12.856217384338379,no,no,no,no,no,unknown,no,no
7446,245.91750399798724,-26.490603768894346,3.6316243393663292,0.13670139304183332,24.02637481689453,yes,no,yes,no,no,unknown,yes,no
9841,175.00502802912297,-31.917418672849003,4.7445747173023385,0.363050812299814,10.53874397277832,no,no,no,no,no,unknown,no,no
9923,193.92558423665074,38.355548401329195,4.479080668884337,0.33788743194529786,5.775545597076416,no,no,no,no,no,unknown,no,no
11012,237.36079088979608,-26.118918896820464,6.816419110361626,0.3295021826366493,17.799226760864258,yes,no,no,no,no,unknown,yes,no
13624,238.4909830531295,-24.033249655714872,3.478146707718024,0.12921121992756537,37.35612106323242,yes,no,no,no,no,unknown,yes,no
14540,249.28983927244414,-10.567128882204988,2.6433139941958346,0.008038724793265783,2648.633056640625,yes,no,no,no,no,unknown,no,no
15724,229.85673250941193,-7.7224870537307,0.45687724088524123,0.040993490781968754,96.25965118408203,yes,no,no,no,no,unknown,no,no
16650,135.3878700225477,32.4498912048408,11.276849702981647,1.3929861014662144,6.664372444152832,no,no,no,no,no,unknown,no,no
16666,286.76048522821645,40.23600205612989,3.9744890548347036,0.2773991100886139,7.444831371307373,yes,no,no,no,no,unknown,yes,no
17249,246.76253311625658,-24.437674110559165,6.305759082638205,0.33613586103427,20.248821258544922,no,yes,yes,no,no,unknown,yes,no
17256,129.8822886798171,19.404795627959142,8.262449437091515,0.4994769054922673,18.86272430419922,yes,yes,yes,no,yes,unknown,yes,no
17257,129.88205774368626,19.404774396371085,8.182742003866249,0.6497287803144244,17.89806365966797,yes,yes,yes,no,yes,unknown,yes,no
22333,143.18146831159132,26.987262673260123,1.8859704562578523,0.02049792347000547,791.6868286132812,yes,no,yes,no,no,unknown,no,no
23324,127.76910792415646,9.705324547521139,9.264364284066088,0.5699955444403364,22.22951316833496,no,no,no,no,no,unknown,yes,no
23413,188.95896109224438,-35.041900151547196,10.060726984338315,0.8455160095092619,18.405792236328125,yes,no,no,no,no,unknown,yes,no
23864,143.18132713167023,26.986838405282917,1.9775269924586694,0.02547895103574839,634.9306030273438,yes,no,no,no,no,unknown,no,no
946,245.8454753717657,-26.371353465101794,10.776139279974892,0.1061215165508402,459.5443115234375,yes,no,yes,no,no,unknown,yes,no
1007,244.3110845234759,-22.922611218644175,5.1319016236715465,0.019141830116201873,1448.726806640625,yes,yes,no,no,no,unknown,yes,no
3778,259.26351342813985,43.1531496560195,1.6513475619254132,0.13160021874753483,16.272258758544922,yes,no,no,no,no,unknown,no,no
7458,246.7784467543063,-25.96465286497774,4.947849943014731,0.22926668323098434,14.898222923278809,yes,no,no,no,no,unknown,yes,no
16687,122.93845690066388,2.2960569775199815,8.433548635634637,0.46143997538246817,26.55879020690918,yes,no,no,no,yes,unknown,yes,no
3785,122.05641339264422,21.102405858274086,10.344128136697847,0.09070977336972202,525.8065795898438,no,no,yes,no,no,unknown,yes,no
10026,148.95885399411003,69.67956787978456,3.5935792192157683,0.010529160828227486,1246.98876953125,no,no,no,no,no,unknown,no,yes
10027,148.95894733234255,69.67963469642848,3.616103597308481,0.007254479967182652,1708.7113037109375,no,no,yes,no,no,unknown,no,yes
11033,210.83166337077904,-41.38300268072082,0.11748890544308335,0.013515380042043775,966.5784912109375,no,yes,yes,no,no,unknown,no,yes
13018,210.83178767290653,-41.38293944358502,0.1301929687560422,0.009782012041815166,1312.7232666015625,no,yes,yes,no,no,unknown,unknown,yes
13686,56.481439546561575,68.08205717931851,3.434281973366024,0.025300810827972548,755.7002563476562,yes,yes,yes,no,no,unknown,no,yes
13728,149.4722278588547,69.06334698263949,1.8930299765134575,0.009218581749618353,2030.4429931640625,no,yes,yes,no,yes,unknown,no,no
13734,256.3571959288844,-22.739098229017987,4.022910510955894,0.1673810124934873,15.03555679321289,yes,no,no,no,no,unknown,yes,no
14471,149.47201109056346,69.06341158275913,1.830089908526862,0.007102453452887891,3206.802490234375,no,yes,yes,no,yes,unknown,unknown,no
15771,124.87026755591816,70.70529493902373,0.4447139020448515,0.009763163128219557,1869.312255859375,yes,yes,no,no,no,unknown,no,no
17678,148.95909380928708,69.6795905279856,3.1336758570160326,0.010642321999941771,1506.150634765625,no,no,yes,no,no,unknown,no,yes
17867,126.77565888554918,-7.145940095231951,3.879825328218263,0.015280425609552777,1650.66357421875,yes,no,no,no,no,unknown,no,no
